term,coef,std_err,t,p_value,ci_low,ci_high,model,r_squared,adj_r_squared,n_obs
Intercept,1.1145908507578808,0.10695508464348107,10.421111389638037,1.9861851227841097e-25,0.9049627368932249,1.3242189646225366,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(content_type)[T.informational],-0.0006559051751081242,0.014277465461869573,-0.04593988876105719,0.9633581610899169,-0.028639223270887016,0.027327412920670768,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(content_type)[T.promotional],0.004234305421857907,0.015527750051441714,0.27269278600119934,0.7850893805556475,-0.026199525439907823,0.03466813628362364,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(post_format)[T.image],0.0015031891354408498,0.0170138141000678,0.08835109673820049,0.9295976283775964,-0.03184327374035179,0.03484965201123349,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(post_format)[T.video],-0.010156296352830281,0.01746838529062479,-0.5814101408835494,0.5609640644375209,-0.04439370239052411,0.02408110968486355,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2024-02],-0.01728888063023025,0.03902545625380665,-0.4430154645160323,0.6577545490881953,-0.0937773693679347,0.0591996081074742,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2024-03],0.008203309696170558,0.041644355440395284,0.19698491210679892,0.843839344849688,-0.07341812712638886,0.08982474651872997,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2024-04],-0.017458254566174093,0.040366119603832885,-0.43249771683568955,0.66537971125901,-0.09657439518532279,0.0616578860529746,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2024-05],-0.08553694124706263,0.03968043150708297,-2.1556454402920053,0.031111361477860377,-0.16330915789195366,-0.007764724602171591,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2024-06],-0.05080425834679836,0.04139678131524693,-1.2272514126137275,0.21972811118338298,-0.131940458800563,0.030331942106966284,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2024-07],-0.10007285456108203,0.043093548983363594,-2.322223556006387,0.020220901231442743,-0.18453465853448733,-0.015611050587676728,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2024-08],-0.04547879364211187,0.03969700024833762,-1.1456481184372709,0.25194077881990606,-0.12328348442313118,0.03232589713890745,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2024-09],-0.0561773874766099,0.03896339908310177,-1.4417989394814825,0.14935910215892334,-0.13254424639475032,0.020189471441530535,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2024-10],-0.05076978207824641,0.04170065977075209,-1.2174815064642024,0.2234210685523822,-0.1325015733604788,0.030962009203985993,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2024-11],-0.09871180786794223,0.041025192129611775,-2.4061266442355684,0.016122674485571246,-0.1791197069008174,-0.018303908835067065,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2024-12],-0.00825303164393866,0.03828293558876567,-0.2155799056946029,0.8293152204346433,-0.08328620662038606,0.06678014333250874,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-01],-0.07503275308366401,0.041254563856186616,-1.8187746050407452,0.06894582425918903,-0.15589021243969764,0.005824706272369598,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-02],-0.027094365276195444,0.04060243846560505,-0.6673088193741737,0.5045748941246027,-0.10667368235328509,0.05248495180089419,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-03],-0.017274597010759216,0.04062971661411685,-0.42517148654581394,0.6707116683929346,-0.09690737827649691,0.06235818425497848,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-04],-0.06559827723360964,0.0426305271098937,-1.5387629870141948,0.12386216892665311,-0.1491525750109597,0.017956020543740403,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-05],-0.042039671249568075,0.03987309751395925,-1.0543367300433661,0.29172877814381293,-0.12018950632898177,0.03611016382984562,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-06],-0.06101731076800974,0.03862798164077038,-1.5796142634490709,0.11419523077143352,-0.13672676357939412,0.014692142043374636,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-07],-1.2036864561582039e-05,0.03793901555631907,-0.00031726876370088617,0.999746856156065,-0.07437114096385179,0.07434706723472863,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-08],-0.01692274287129028,0.04185894721011448,-0.40428018378831077,0.6860066957643831,-0.09896477183387804,0.06511928609129748,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-09],-0.0389554356038605,0.04026335227864832,-0.9675159518329175,0.3332861707592122,-0.11787015596685993,0.03995928475913893,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-10],-0.04289265438125492,0.03851353695437204,-1.1137033306515298,0.265406479980863,-0.11837779972907655,0.03259249096656672,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-11],-0.009829809940311879,0.03838704254855171,-0.2560710408435136,0.7978959826886803,-0.08506703080847987,0.06540741092785611,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
C(year_month)[T.2025-12],-0.09688671164111556,0.04099049232178355,-2.363638642847603,0.018096454094436755,-0.17722660030037696,-0.016546822981854184,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
log_reach,0.011642096786193414,0.01117344724884933,1.0419431467215587,0.2974380384846098,-0.010257457404709423,0.03354165097709625,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
persuasive_power_index_z,-0.20401348201211433,0.008641472625596669,-23.608647605711507,3.1413572836907593e-123,-0.22095045713167258,-0.1870765068925561,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
authority_z,-0.14355497233151665,0.09161465403530192,-1.5669433437602738,0.1171279351650252,-0.32311639469680553,0.03600645003377223,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
log_reach:authority_z,0.084055537497465,0.009899353757568155,8.491012601019909,2.0484435673857254e-17,0.06465316066241017,0.10345791433251983,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
persuasive_power_index_z:authority_z,-0.057148972656196985,0.010719865110234922,-5.33112796369362,9.76046092678217e-08,-0.07815952219138493,-0.03613842312100904,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
verified,0.0371979872088535,0.018330910396665696,2.029249306440319,0.042432903800699896,0.0012700630275579022,0.0731259113901491,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
account_age_years,-0.0031836572697042068,0.0020493642371235527,-1.5534853258553616,0.12030723228519337,-0.0072003373656707725,0.0008330228262623594,B_path_outcome_model,0.5037940711661698,0.5021010454180163,10000
