term,coef,std_err,t,p_value,ci_low,ci_high,model,r_squared,adj_r_squared,n_obs
Intercept,-3.5038015073392943,0.8305891794137369,-4.218453110372107,2.4598411162190416e-05,-5.131726384938895,-1.8758766297396927,RQ2_Diminishing_Returns,0.13934222534400065,0.13666562110901503,10000
C(content_type)[T.informational],0.08449129376217174,0.018328147322876444,4.609920046676685,4.028238603775618e-06,0.0485687851059897,0.12041380241835378,RQ2_Diminishing_Returns,0.13934222534400065,0.13666562110901503,10000
C(content_type)[T.promotional],0.05331222344186957,0.02021841110828694,2.636815680338918,0.008368829118309704,0.013684865845002607,0.09293958103873654,RQ2_Diminishing_Returns,0.13934222534400065,0.13666562110901503,10000
C(post_format)[T.image],0.02124867799958694,0.023277243572937197,0.9128519849442687,0.36132039323846055,-0.024373881062736413,0.0668712370619103,RQ2_Diminishing_Returns,0.13934222534400065,0.13666562110901503,10000
C(post_format)[T.video],-0.06660841066353648,0.02363947862326145,-2.8176768077276133,0.004837247359894926,-0.11294093737843343,-0.020275883948639536,RQ2_Diminishing_Returns,0.13934222534400065,0.13666562110901503,10000
C(year_month)[T.2024-02],-0.053007681955044364,0.05594047880726706,-0.9475729040087926,0.34334692571173486,-0.16264900569521396,0.05663364178512524,RQ2_Diminishing_Returns,0.13934222534400065,0.13666562110901503,10000
C(year_month)[T.2024-03],0.03550852823741496,0.05304508314721633,0.6694028198403975,0.5032385533270671,-0.06845792428806163,0.13947498076289155,RQ2_Diminishing_Returns,0.13934222534400065,0.13666562110901503,10000
C(year_month)[T.2024-04],-0.029482738833400163,0.05607001711382392,-0.5258200434208762,0.5990132469588388,-0.13937795298903952,0.08041247532223919,RQ2_Diminishing_Returns,0.13934222534400065,0.13666562110901503,10000
C(year_month)[T.2024-05],-0.06661096445621911,0.05371814062815297,-1.2400087508112516,0.21497215746425635,-0.17189658540385677,0.038674656491418546,RQ2_Diminishing_Returns,0.13934222534400065,0.13666562110901503,10000
C(year_month)[T.2024-06],-0.019198787373496833,0.05719070423280261,-0.33569769127768617,0.7370988469900271,-0.1312905079202724,0.09289293317327871,RQ2_Diminishing_Returns,0.13934222534400065,0.13666562110901503,10000
